상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리_대분류,카테고리_소분류,카테고리_전체
시티 레이어드 캡소매 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510638&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmx1W1lF,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036662.gif?1717139908,,22000,,6,"화이트, 카키, 그레이, 블랙",0,TOP,무지티,TOP > 무지티
[made]데나리어 단추포켓 스트링 스판티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510281&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bml%2FW1lG,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036382.gif?1712306347,,29800,,12,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
터틀넥 메쉬 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=509883&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmp9W1lH,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036122.gif?1709196084,,24500,,8,"진한크림, 블랙",0,TOP,무지티,TOP > 무지티
파니파니 딥라운드슬림티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506649&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bW93VFg%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070034592.gif?1675932301,,12800,,18,"아이보리,크림, 베이지, 카키, 블랙",0,TOP,무지티,TOP > 무지티
[1+1]로긴하이넥 레이온폴라티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=499332&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bm98W1lB,한장가격에 두장! 득템 찬스,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070035022.gif?1703810107,,18000,,668,"아이보리,크림, 진한크림, 베이지, 소라, 민트, 핑크, 코코아, 와인, 딥브라운, 청록, 챠콜, 블랙",0,TOP,무지티,TOP > 무지티
오젠 언발넥 슬림 스판 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512563&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bml%2FW1lC,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037952.gif?1744362525,,29800,,0,"블랙, 그레이",0,TOP,무지티,TOP > 무지티
코엘 딥라운드 워싱 랍바 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512562&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z2t3VFs%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037942.jpg?1744366879,,24000,,0,"아이보리,크림, 브라운, 챠콜",0,TOP,무지티,TOP > 무지티
테에르 세미크롭 스판 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512483&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=aWl3VFQ%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037882.gif?1743379800,,19800,,3,"화이트, 블루, 블랙",0,TOP,무지티,TOP > 무지티
유닛코튼 남여공용 레귤러핏 무지 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512472&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bW13VFU%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037852.gif?1743124209,,25000,,0,"아이보리,크림, 브라운, 블랙",0,TOP,무지티,TOP > 무지티
,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506785&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmt1W18%3D,,https://cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070034662.gif?1677575747,,,,0,"화이트, 핑크, 카키, 블랙",0,TOP,무지티,TOP > 무지티
